id	chromosom	version	taxon	definition	organism	kingdom	phylum	class	order	family	genus	species
NC_015145	NC_015145	NC_015145.1	930171	Arthrobacter phenanthrenivorans Sphe3, complete genome.	Arthrobacter phenanthrenivorans Sphe3	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter phenanthrenivorans	
NC_015151	NC_015151	NC_015151.1	985053	Vulcanisaeta moutnovskia 768-28, complete genome.	Vulcanisaeta moutnovskia 768-28	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta moutnovskia	
NC_015161	NC_015161	NC_015161.1	693977	Deinococcus proteolyticus MRP, complete genome.	Deinococcus proteolyticus MRP	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus proteolyticus	
NC_015167	NC_015167	NC_015167.1	867900	Cellulophaga lytica DSM 7489, complete genome.	Cellulophaga lytica DSM 7489	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	
NC_015177	NC_015177	NC_015177.1	762903	Pedobacter saltans DSM 12145, complete genome.	Pseudopedobacter saltans DSM 12145	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pseudopedobacter	Pseudopedobacter saltans	
NC_015216	NC_015216	NC_015216.1	877455	Methanobacterium lacus strain AL-21, complete genome.	Methanobacterium lacus	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	null	
NC_015222	NC_015222	NC_015222.1	153948	Nitrosomonas sp. AL212, complete genome.	Nitrosomonas sp. AL212	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	null	
NC_015312	NC_015312	NC_015312.1	675635	Pseudonocardia dioxanivorans CB1190, complete genome.	Pseudonocardia dioxanivorans CB1190	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia dioxanivorans	
NC_015315	NC_015315	NC_015315.1	999630	Thermoproteus uzoniensis 768-20, complete genome.	Thermoproteus uzoniensis 768-20	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis	
NC_015381	NC_015381,NC_015376	NC_015381.1,NC_015376.1	999541	Burkholderia gladioli BSR3 chromosome 1, complete sequence.	Burkholderia gladioli BSR3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia gladioli	
NC_015379	NC_015379	NC_015379.1	994484	Pseudomonas brassicacearum subsp. brassicacearum NFM421, complete	Pseudomonas brassicacearum subsp	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas brassicacearum	
NC_015425	NC_015425	NC_015425.1	929506	Clostridium botulinum BKT015925, complete genome.	Clostridium botulinum BKT015925	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	
NC_015433	NC_015433	NC_015433.1	1007064	Streptococcus suis ST3, complete genome.	Streptococcus suis ST3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	
NC_015460	NC_015460	NC_015460.1	1005058	Gallibacterium anatis UMN179, complete genome.	Gallibacterium anatis UMN179	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Gallibacterium	Gallibacterium anatis	
NC_015474	NC_015474	NC_015474.1	342949	Pyrococcus sp. NA2, complete genome.	Pyrococcus sp. NA2	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	null	
NC_015520	NC_015520	NC_015520.1	697281	Mahella australiensis 50-1 BON, complete genome.	Mahella australiensis 50-1 BON	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family IV. Incertae Sedis	Mahella	Mahella australiensis	
NC_015563	NC_015563	NC_015563.1	742013	Delftia sp. Cs1-4, complete genome.	Delftia sp. Cs1-4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	null	
NC_015565	NC_015565	NC_015565.1	868595	Desulfotomaculum carboxydivorans CO-1-SRB, complete genome.	Desulfotomaculum nigrificans CO-1-SRB	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum nigrificans	
NC_015567	NC_015567	NC_015567.1	768492	Serratia plymuthica AS9, complete genome.	Serratia plymuthica AS9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia plymuthica	
NC_015573	NC_015573	NC_015573.1	760568	Desulfotomaculum kuznetsovii DSM 6115, complete genome.	Desulfotomaculum kuznetsovii DSM 6115	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum kuznetsovii	
NC_015577	NC_015577	NC_015577.1	545695	Treponema azotonutricium ZAS-9, complete genome.	Treponema azotonutricium ZAS-9	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema azotonutricium	
NC_015578	NC_015578	NC_015578.1	545694	Treponema primitia ZAS-2, complete genome.	Treponema primitia ZAS-2	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema primitia	
NC_015580	NC_015580	NC_015580.1	702113	Novosphingobium sp. PP1Y main chromosome, complete replicon.	Novosphingobium sp. PP1Y	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	null	
NC_015589	NC_015589	NC_015589.1	696281	Desulfotomaculum ruminis DSM 2154, complete genome.	Desulfotomaculum ruminis DSM 2154	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum ruminis	
NC_015590	NC_015590,NC_015596,NC_015591	NC_015590.1,NC_015596.1,NC_015591.1	693982	Sinorhizobium meliloti AK83 chromosome 1, complete sequence.	Sinorhizobium meliloti AK83	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti	
NC_015593	NC_015593,NC_015594	NC_015593.1,NC_015594.1	690566	Sphingobium chlorophenolicum L-1 chromosome 1, complete sequence.	Sphingobium chlorophenolicum L-1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium chlorophenolicum	
NC_015601	NC_015601	NC_015601.1	650150	Erysipelothrix rhusiopathiae str. Fujisawa DNA, complete genome.	Erysipelothrix rhusiopathiae str. Fujisawa	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix rhusiopathiae	
NC_015634	NC_015634	NC_015634.1	941639	Bacillus coagulans 2-6, complete genome.	Bacillus coagulans 2-6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus coagulans	
NC_015635	NC_015635	NC_015635.1	1032480	Microlunatus phosphovorus NM-1 DNA, complete genome.	Microlunatus phosphovorus NM-1	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	Microlunatus phosphovorus	
NC_015656	NC_015656	NC_015656.1	656024	Frankia symbiont of Datisca glomerata, complete genome.	Frankia symbiont of Datisca glomerata	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	null	
NC_015675	NC_015675	NC_015675.1	536019	Mesorhizobium opportunistum WSM2075, complete genome.	Mesorhizobium opportunistum WSM2075	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium opportunistum	
NC_015676	NC_015676	NC_015676.1	679901	Methanosalsum zhilinae DSM 4017, complete genome.	Methanosalsum zhilinae DSM 4017	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosalsum	Methanosalsum zhilinae	
NC_015677	NC_015677	NC_015677.1	365046	Ramlibacter tataouinensis TTB310, complete genome.	Ramlibacter tataouinensis TTB310	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter tataouinensis	
NC_015683	NC_015683	NC_015683.1	945712	Corynebacterium ulcerans BR-AD22, complete genome.	Corynebacterium ulcerans BR-AD22	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ulcerans	
NC_015684	NC_015684	NC_015684.1	504832	Oligotropha carboxidovorans OM5, complete genome.	Oligotropha carboxidovorans OM5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Oligotropha	Oligotropha carboxidovorans	
NC_015687	NC_015687	NC_015687.1	991791	Clostridium acetobutylicum DSM 1731, complete genome.	Clostridium acetobutylicum DSM 1731	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	
NC_015690	NC_015690	NC_015690.1	1036673	Paenibacillus mucilaginosus KNP414, complete genome.	Paenibacillus mucilaginosus KNP414	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus mucilaginosus	
NC_015696	NC_015696	NC_015696.1	573569	Francisella sp. TX077308, complete genome.	Francisella sp. TX077308	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	null	
NC_015707	NC_015707	NC_015707.1	688269	Thermotoga thermarum DSM 5069, complete genome.	Pseudothermotoga thermarum DSM 5069	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	Pseudothermotoga thermarum	
NC_015717	NC_015717	NC_015717.1	717785	Hyphomicrobium sp. MC1 chromosome, complete genome.	Hyphomicrobium sp. MC1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	null	
NC_015726	NC_015726,NC_015723	NC_015726.1,NC_015723.1	1042878	Cupriavidus necator N-1 chromosome 1, complete sequence.	Cupriavidus necator N-1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator	
NC_015733	NC_015733	NC_015733.1	1042876	Pseudomonas putida S16, complete genome.	Pseudomonas putida S16	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	
NC_015734	NC_015734	NC_015734.1	979982	Leuconostoc sp. C2, complete genome.	Leuconostoc sp. C2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	null	
NC_015758	NC_015758	NC_015758.1	572418	Mycobacterium africanum GM041182 complete genome.	Mycobacterium africanum GM041182	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium africanum	
NC_015846	NC_015846	NC_015846.1	860228	Capnocytophaga canimorsus Cc5, complete genome.	Capnocytophaga canimorsus Cc5	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	
NC_015847	NC_015847	NC_015847.1	1053692	Methanococcus maripaludis X1, complete genome.	Methanococcus maripaludis X1	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis	
NC_015856	NC_015856	NC_015856.1	1005048	Collimonas fungivorans Ter331, complete genome.	Collimonas fungivorans Ter331	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	Collimonas fungivorans	
NC_015857	NC_015857,NC_015858	NC_015857.1,NC_015858.1	520461	Brucella pinnipedialis B2/94 chromosome 1, complete sequence.	Brucella pinnipedialis B2/94	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella pinnipedialis	
NC_015859	NC_015859	NC_015859.1	858619	Corynebacterium variabile DSM 44702, complete genome.	Corynebacterium variabile DSM 44702	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium variabile	
NC_015942	NC_015942	NC_015942.1	743299	Acidithiobacillus ferrivorans SS3, complete genome.	Acidithiobacillus ferrivorans SS3	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrivorans	
NC_015947	NC_015947	NC_015947.1	868597	Stenotrophomonas maltophilia JV3, complete genome.	Stenotrophomonas maltophilia JV3	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	
NC_015953	NC_015953	NC_015953.1	862751	Streptomyces sp. SirexAA-E, complete genome.	Streptomyces sp. SirexAA-E	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	null	
NC_015957	NC_015957	NC_015957.1	653045	Streptomyces violaceusniger Tu 4113, complete genome.	Streptomyces violaceusniger Tu 4113	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces violaceusniger	
NC_015976	NC_015976	NC_015976.1	627192	Sphingobium sp. SYK-6 DNA, complete genome.	Sphingobium sp. SYK-6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	null	
NC_016001	NC_016001	NC_016001.1	1034807	Flavobacterium branchiophilum FL-15, complete genome.	Flavobacterium branchiophilum FL-15	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium branchiophilum	
NC_016002	NC_016002	NC_016002.1	748280	Pseudogulbenkiania sp. NH8B DNA, complete genome.	Pseudogulbenkiania sp. NH8B	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Pseudogulbenkiania	null	
NC_016023	NC_016023	NC_016023.1	345219	Bacillus coagulans 36D1, complete genome.	Bacillus coagulans 36D1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus coagulans	
NC_016024	NC_016024,NC_016025	NC_016024.1,NC_016025.1	981222	Candidatus Chloracidobacterium thermophilum B chromosome 1,	Chloracidobacterium thermophilum B	Bacteria	Acidobacteria	Blastocatellia	null	null	Chloracidobacterium	Chloracidobacterium thermophilum	
NC_016026	NC_016026	NC_016026.1	856793	Micavibrio aeruginosavorus ARL-13, complete genome.	Micavibrio aeruginosavorus ARL-13	Bacteria	Proteobacteria	Alphaproteobacteria	null	null	Micavibrio	Micavibrio aeruginosavorus	
NC_016047	NC_016047	NC_016047.1	1052585	Bacillus subtilis subsp. spizizenii TU-B-10, complete genome.	Bacillus subtilis subsp. spizizenii TU-B-10	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	
NC_016070	NC_016070	NC_016070.1	768679	Thermoproteus tenax Kra 1, complete genome.	Thermoproteus tenax Kra 1	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus tenax	
NC_016109	NC_016109	NC_016109.1	452652	Kitasatospora setae KM-6054, complete genome.	Kitasatospora setae KM-6054	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora setae	
NC_016111	NC_016111	NC_016111.1	1003195	Streptomyces cattleya NRRL 8057 = DSM 46488, complete genome.	Streptomyces cattleya NRRL 8057	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cattleya	
NC_016114	NC_016114	NC_016114.1	591167	Streptomyces pratensis ATCC 33331, complete genome.	Streptomyces pratensis ATCC 33331	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces pratensis	
NC_016147	NC_016147	NC_016147.2	1045855	Pseudoxanthomonas spadix BD-a59, complete genome.	Pseudoxanthomonas spadix BD-a59	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas spadix	
NC_016148	NC_016148	NC_016148.1	580340	Thermovirga lienii DSM 17291, complete genome.	Thermovirga lienii DSM 17291	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermovirga	Thermovirga lienii	
NC_016472	NC_016472,NC_016473,NC_016474,NC_016475,NC_016476,NC_016477,NC_016478	NC_016472.1,NC_016473.1,NC_016474.1,NC_016475.1,NC_016476.1,NC_016477.1,NC_016478.1	573729	Myceliophthora thermophila ATCC 42464 chromosome 1, complete	Myceliophthora thermophila ATCC 42464	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Myceliophthora	Myceliophthora thermophila	
NC_016510	NC_016510	NC_016510.2	1041826	Flavobacterium columnare ATCC 49512, complete genome.	Flavobacterium columnare ATCC 49512	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium columnare	
NC_016514	NC_016514	NC_016514.1	1045856	Enterobacter cloacae EcWSU1, complete genome.	Enterobacter cloacae EcWSU1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	
NC_016582	NC_016582	NC_016582.1	749414	Streptomyces bingchenggensis BCW-1, complete genome.	Streptomyces bingchenggensis BCW-1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces bingchenggensis	
NC_016584	NC_016584	NC_016584.1	768706	Desulfosporosinus orientis DSM 765, complete genome.	Desulfosporosinus orientis DSM 765	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	Desulfosporosinus orientis	
NC_016604	NC_016604	NC_016604.1	710685	Mycobacterium rhodesiae NBB3, complete genome.	Mycobacterium rhodesiae NBB3	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium rhodesiae	
NC_016609	NC_016609	NC_016609.1	700598	Niastella koreensis GR20-10, complete genome.	Niastella koreensis GR20-10	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella	Niastella koreensis	
NC_016612	NC_016612	NC_016612.1	1006551	Klebsiella oxytoca KCTC 1686, complete genome.	Klebsiella oxytoca KCTC 1686	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	
NC_016616	NC_016616	NC_016616.1	640081	Dechlorosoma suillum PS, complete genome.	Dechlorosoma suillum PS	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Azospira oryzae	
NC_016617	NC_016617	NC_016617.1	1064539	Azospirillum brasilense Sp245 main chromosome complete genome.	Azospirillum brasilense Sp245	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	
NC_016620	NC_016620	NC_016620.1	862908	Bacteriovorax marinus SJ genome.	Halobacteriovorax marinus SJ	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Halobacteriovoraceae	Halobacteriovorax	Halobacteriovorax marinus	
NC_016622	NC_016622	NC_016622.1	862719	Azospirillum lipoferum 4B main chromosome, complete genome.	Azospirillum lipoferum 4B	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum lipoferum	
NC_016589	NC_016589,NC_016625,NC_016590	NC_016589.1,NC_016625.1,NC_016590.1	1097668	Burkholderia sp. YI23 chromosome 1, complete sequence.	Burkholderia sp. YI23	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	null	
NC_016627	NC_016627	NC_016627.1	720554	Clostridium clariflavum DSM 19732, complete genome.	[Clostridium] clariflavum DSM 19732	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] clariflavum	
NC_016629	NC_016629	NC_016629.1	690850	Desulfovibrio africanus str. Walvis Bay, complete genome.	Desulfovibrio africanus str. Walvis Bay	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio africanus	
NC_016631	NC_016631	NC_016631.1	682795	Granulicella mallensis MP5ACTX8, complete genome.	Granulicella mallensis MP5ACTX8	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella mallensis	
NC_016641	NC_016641	NC_016641.1	985665	Paenibacillus terrae HPL-003, complete genome.	Paenibacillus terrae HPL-003	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus terrae	
NC_016771	NC_016771	NC_016771.1	334406	Bacillus cereus NC7401 genomic DNA, complete genome.	Bacillus cereus NC7401	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_016779	NC_016779	NC_016779.1	347495	Bacillus cereus F837/76, complete genome.	Bacillus cereus F837/76	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_016784	NC_016784	NC_016784.1	1114958	Bacillus amyloliquefaciens subsp. plantarum CAU B946 complete	Bacillus methylotrophicus CAU B946	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus methylotrophicus	
NC_016790	NC_016790	NC_016790.1	698971	Corynebacterium diphtheriae VA01, complete genome.	Corynebacterium diphtheriae VA01	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae	
NC_016800	NC_016800	NC_016800.1	698973	Corynebacterium diphtheriae BH8, complete genome.	Corynebacterium diphtheriae BH8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae	
NC_016801	NC_016801	NC_016801.1	698963	Corynebacterium diphtheriae C7 (beta), complete genome.	Corynebacterium diphtheriae C7 (beta)	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae	
NC_016811	NC_016811	NC_016811.1	933093	Legionella pneumophila subsp. pneumophila ATCC 43290, complete	Legionella pneumophila subsp. pneumophila ATC	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	
NC_016812	NC_016812	NC_016812.1	1117943	Sinorhizobium fredii HH103 main chromosome, complete sequence.	Sinorhizobium fredii HH103	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii	
NC_016816	NC_016816	NC_016816.1	1123863	Pantoea ananatis LMG 5342 main chromosome complete genome.	Pantoea ananatis LMG 5342	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	Pantoea ananatis	
NC_016826	NC_016826	NC_016826.1	1069533	Streptococcus infantarius subsp. infantarius CJ18, complete genome.	Streptococcus infantarius subsp. infantariu	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius	
NC_016830	NC_016830	NC_016830.1	1114970	Pseudomonas fluorescens F113, complete genome.	Pseudomonas fluorescens F113	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	
NC_016831	NC_016831	NC_016831.1	1081093	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_016832	NC_016832	NC_016832.1	1132507	Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12,	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_016854	NC_016854	NC_016854.1	568708	Salmonella enterica subsp. enterica serovar Typhimurium str. D23580	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_016856	NC_016856	NC_016856.1	588858	Salmonella enterica subsp. enterica serovar Typhimurium str.	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_016857	NC_016857	NC_016857.1	909946	Salmonella enterica subsp. enterica serovar Typhimurium str.	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_016860	NC_016860	NC_016860.1	718274	Salmonella enterica subsp. enterica serovar Typhimurium str.	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_016863	NC_016863	NC_016863.1	990282	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_016887	NC_016887	NC_016887.1	1127134	Nocardia cyriacigeorgica GUH-2 chromosome complete genome.	Nocardia cyriacigeorgica GUH-2	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia cyriacigeorgica	
NC_016894	NC_016894	NC_016894.1	931626	Acetobacterium woodii DSM 1030, complete genome.	Acetobacterium woodii DSM 1030	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Acetobacterium	Acetobacterium woodii	
NC_016906	NC_016906	NC_016906.1	1112204	Gordonia polyisoprenivorans VH2, complete genome.	Gordonia polyisoprenivorans VH2	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia polyisoprenivorans	
NC_016935	NC_016935	NC_016935.1	1116391	Paenibacillus mucilaginosus 3016, complete genome.	Paenibacillus mucilaginosus 3016	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus mucilaginosus	
NC_016943	NC_016943	NC_016943.1	1146883	Blastococcus saxobsidens DD2 complete genome.	Blastococcus saxobsidens DD2	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus saxobsidens	
NC_016946	NC_016946	NC_016946.1	487521	Mycobacterium intracellulare ATCC 13950, complete genome.	Mycobacterium intracellulare ATCC 13950	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium intracellulare	
NC_016947	NC_016947	NC_016947.1	1138382	Mycobacterium intracellulare MOTT-02, complete genome.	Mycobacterium intracellulare MOTT-02	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium intracellulare	
NC_016948	NC_016948	NC_016948.1	1138383	Mycobacterium intracellulare MOTT-64, complete genome.	Mycobacterium intracellulare MOTT-64	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium intracellulare	
