progress	50.2																																														
Notes	Final	Who	known habitat	Isolation_ecosystem_category	Isolation_ecosystem_type	Kingdom	Phyla-Order	GOLD Project ID	Project Name	Other Names	Legacy ER Project ID	Legacy GOLD ID	NCBI BioProject Name	NCBI BioProject ID	NCBI BioProject Accession	NCBI Locus Tag	NCBI Bio Project Description	Project Comments	Project Description	Sequencing Comments	Library Method	Number Of Reads	Sequencing Depth	Vector	GC Percent	Chromosome Count	Plasmid Count	Cultured	Organism Type	ITS Proposal ID	ITS SPID	GPTS Proposal ID	PMO Project ID	Last Modified Date	Add Date	Genetically modified										Keywords for soil	
		Erick	Fresh water	Aquatic	Freshwater	Bacteria	Proteobacteria	Gp0002136	Sideroxydans lithotrophicus ES-1	Sideroxydans lithotrophicus ES-1	12038	Gc01345	Sideroxydans lithotrophicus ES-1	33161	PRJNA33161	Slit			Iron-oxidizing bacterium						58	1	0	Yes	Natural			50011	16480	4/8/14	11/27/07												
		Erick	Fresh water	Biotransformation	none	Bacteria	Proteobacteria	Gp0002121	Thioalkalivibrio sulfidophilus HL-EbGR7	Thioalkalivibrio sp. HL-EbGR7	12021	Gc00934	Thioalkalivibrio sp. HL-EbGR7	29177	PRJNA29177	Tgr7			Sulfide-oxidizing bacterium				"8.19x Sanger, 23.3x pyrosequence"		65	1	0	Yes	Natural			50023	16777	3/26/14	11/27/07												
	0	Erick	Fresh water	Mollusca	none	Bacteria	Proteobacteria	Gp0000496	Vibrio fischeri ES114		10428	Gc00257	Vibrio fischeri ES114	12986	PRJNA12986	VF_			Bioluminscent symbiotic marine bacterium				10x		38	2	1	Yes	Natural					8/18/14	11/27/07												
	0	Erick	Fresh water	Mollusca	none	Bacteria	Proteobacteria	Gp0006300	Vibrio fischeri MJ11		11212	Gc00852	Vibrio fischeri MJ11	19393	PRJNA19393	VFMJ11			"Understand the evolution of Vibrio fischeri and the role of symbioses in the ecological success of marine bacteria. Vibrios are common and abundant in the specific microbial communities associated with marine animals where they influence their hosts in important ways, either as coevolved beneficial symbionts or by causing diseases such as coral bleaching. These Vibrio-host interactions appear to play a critical role in the survival and dissemination of these bacteria in the marine environment. Comparisons of pathogenic and symbiotic strains have suggested that bacterial traits generally associated with virulence may have been evolved to promote marine symbioses. On the other hand, interpreting the dissimilarities between these genomes is more difficult, as they reflect both lifestyle differences and the evolutionary distance inherent in diverged species. By obtaining the genome sequences of six additional strains of V. fischeri, representing a diversity of distinct niches and evolutionary histories, be able to determine which genomic traits are common to all strains of this species as well as those that may underlie important adaptations to specific lifestyles."						38	2	1	Yes	Natural					3/26/14	11/27/07												
marine	0	Erick	Fresh water	Mollusca	none	Bacteria	Proteobacteria	Gp0002194	Vibrio splendidus LGP32		12093	Gc00912	Vibrio splendidus LGP32	32815	PRJEA32815	VS			Marine organism that causes disease in fish and shellfish			"1-2kb, BAC"		pcDNA-2.1	44	2	0	Yes	Natural					3/26/14	11/27/07												
clinical	0	Erick	Fresh water-Host	Human	Circulatory system	Bacteria	Proteobacteria	Gp0000864	Acinetobacter baumannii AB0057		10756	Gc00885	Acinetobacter baumannii AB0057	21111	PRJNA21111	AB57			Multidrug-resistant isolate				"25x 454, 1.7x Sanger"		39	1	1	Yes	Natural					4/8/14	11/27/07												
clinical	0	Erick	Fresh water-Host	Built environment	none	Bacteria	Proteobacteria	Gp0000868	Acinetobacter baumannii ACICU		10759	Gc00810	Acinetobacter baumannii ACICU	17827	PRJNA17827	ACICU			Hospital strain from an outbreak in Rome				23x		39	1	2	Yes	Natural					4/8/14	11/27/07												
clinical	0	Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0000191	Acinetobacter baumannii ATCC 17978		10163	Gc00522	Acinetobacter baumannii ATCC 17978	17477	PRJNA17477	A1S			Opportunistic human pathogen			824407	21.1x		39	1	2	Yes	Natural					3/26/14	11/27/07												
clinical	0	Erick	Fresh water-Host	none	none	Bacteria	Proteobacteria	Gp0003400	Acinetobacter baumannii AYE		65	Gc00732	Acinetobacter baumannii AYE	28921	PRJNA28921	ABAYE			This strain is responsible for community-acquired infections and is highly resistant to antibiotics. This strain will be used for comparative analysis.		"2¿5 kb, 6¿17 kb"				39	1	4	Yes	Natural					3/26/14	3/6/08												
clinical	0	Erick	Fresh water-Host	Insecta	none	Bacteria	Proteobacteria	Gp0000867	Acinetobacter baumannii SDF		10758	Gc00730	Acinetobacter baumannii SDF	13001	PRJNA13001	ABSDF			An antibiotic sensitive strain isolated from body lice in France		2¿5 kb and 6¿17 kb			pcDNA2.1 and pSU18	39	1	3	Yes	Natural					3/26/14	11/27/07												
fish associated	0	Erick	Fresh water-Host	Fish	none	Bacteria	Proteobacteria	Gp0002192	Aliivibrio salmonicida LFI1238		12091	Gc00865	Aliivibrio salmonicida LFI1238	30703	PRJEA30703	VSAL			Causes Hitra disease in Atlantic salmon and rainbow trout		"2.2 -4.0 kb , 4.0 -12.0 kb and 50¿70 kb inserts"		10x	"pUC19, pMAQ1Sa, pBeloBACII"	39	2	4	Yes	Natural					3/26/14	11/27/07												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0010333	Francisella novicida 3523		19083	Gc01714	Francisella cf. novicida 3523	62753	PRJNA62753	FN3523			"Francisella novicida is closely related to Francisella tularensis, the causative agent for tularemia but is nonvirulent. This organism, however may cause disease in immunocompromised individuals."						32			Yes	Natural					3/26/14	2/15/11												
		Erick	Fresh water-Host	none	none	Bacteria	Proteobacteria	Gp0011129	Francisella sp. TX077308		19686	Gc01864	Francisella sp. TX077308	67139	PRJNA67139	F7308			Francisella sp. TX077308 genome sequencing						33	1	0	Yes	Natural					3/26/14	6/26/11												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0001468	Francisella tularensis holarctica FSC200		11372	Gc0011372	Francisella tularensis subsp. holarctica FSC200	16087	PRJNA16087	Ftulh			Causative agent of tularemia						32	1	0	Yes	Natural					3/26/14	11/27/07												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0000067	Francisella tularensis holarctica FTA (FTNF002-00)	Francisella tularensis FTA	10050	Gc00635	Francisella tularensis subsp. holarctica FTNF002-00	20197	PRJNA20197	FTA			Causative agent of tularemia		"8Kb, 3Kb"		19x	"pMCL200, pUC-hinc"	32	1	0	Yes	Natural			3234	16038	4/8/14	11/27/07												
		Erick	Fresh water-Host	none	none	Bacteria	Proteobacteria	Gp0000379	Francisella tularensis holarctica LVS		10330	Gc00356	Francisella tularensis subsp. holarctica	16421	PRJNA16421	FTL			Live vaccine strain						32	1	0	Yes	Natural					3/26/14	11/27/07												
		Erick	Fresh water-Host	Mammals	none	Bacteria	Proteobacteria	Gp0000295	Francisella tularensis holarctica OSU18		10257	Gc00429	Francisella tularensis subsp. holarctica OSU18	17265	PRJNA17265	FTH			Causative agent of tularemia				39x		32	2	0	Yes	Natural					3/26/14	11/27/07												
		Erick	Fresh water-Host	Mammals	none	Bacteria	Proteobacteria	Gp0002201	Francisella tularensis mediasiatica FSC147	Francisella tularensis FTM	12099	Gc00788	Francisella tularensis subsp. mediasiatica FSC147	19571	PRJNA19571	FTM			Causative agent of tularemia						32	1	0	Yes	Natural			3234	16039	3/26/14	11/27/07												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0010332	Francisella tularensis novicida Fx1		19082	Gc01715	Francisella cf. novicida Fx1	62751	PRJNA62751	FNFX1			"Francisella novicida is closely related to Francisella tularensis, the causative agent for tularemia but is nonvirulent. This organism, however may cause disease in immunocompromised individuals."						33			Yes	Natural					3/26/14	2/15/11												
		Erick	Fresh water-Host	none	none	Bacteria	Proteobacteria	Gp0000253	Francisella tularensis novicida U112		10220	Gc00465	Francisella novicida U112	16088	PRJNA16088	FTN			Type strain			29180	10.3x		32	1	0	Yes	Natural					4/8/14	11/27/07												
		Erick	Fresh water-Host	Mammals	Respiratory system	Bacteria	Proteobacteria	Gp0004043	Francisella tularensis TI0902		14052	Gc02138	Francisella tularensis TI0902	64439	PRJNA64439	FTV			Francisella tularensis TI0902 genome sequencing project			306033	29x		32	1	0	Yes	Natural					4/8/14	10/17/08												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0000183	"Francisella tularensis tularensis A.II, Wyoming, WY96-3418"	Francisella tularensis subsp. tularensis WY96-3418	10156	Gc00529	Francisella tularensis subsp. tularensis WY96-3418	18459	PRJNA18459	FTW			Causative agent of tularemia		"4 Kb, 9 Kb, 40 Kb"	41748	16x		32	1	0	Yes	Natural			3234	16045	4/8/14	11/27/07												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0000515	Francisella tularensis tularensis CHU S4		10444	Gc00241	Francisella tularensis subsp. tularensis SCHU S4	9	PRJNA9	FTT			Aquatic bacterium that cause tularemia			32743	12.9x		32	1	0	Yes	Natural					8/18/14	11/27/07												
		Erick	Fresh water-Host	Arthropoda	none	Bacteria	Proteobacteria	Gp0000327	Francisella tularensis tularensis FSC 198		10284	Gc00401	Francisella tularensis subsp. tularensis FSC198	17375	PRJNA17375	FTF			Aquatic bacterium that cause tularemia						32	1	0	Yes	Natural					3/26/14	11/27/07												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0005077	Francisella tularensis tularensis NE061598		14920	Gc01171	Francisella tularensis subsp. tularensis NE061598	38289	PRJNA38289	NE061598			Francisella tularensis subsp. tularensis NE061598 genome sequencing project		"2.2 kb, 6.2 kb"	"25,531 (final assembly)"	11x		32	1	0	Yes	Natural					3/26/14	6/8/09												
		Erick	Fresh water-Host	Animal	none	Bacteria	Proteobacteria	Gp0000093	Janthinobacterium sp. Marseille		10072	Gc00613	Janthinobacterium sp. Marseille	16549	PRJNA16549	mma			Bacterium isolated from dialysis solution				9x		54	1	0	Yes	Natural					4/8/14	11/27/07												
		Erick	Fresh water-Host	Wastewater	none	Bacteria	Proteobacteria	Gp0000302	Nitrosomonas eutropha C91	Nitrosomonas eutropha C91	10262	Gc00424	Nitrosomonas eutropha C91	13913	PRJNA13913	Neut			Ammonia-oxidizing bacterium		"3, 7, 40 kb"	45952	11.7x		49	1	2	Yes	Natural			3565	16217	4/8/14	11/27/07												
	0	Erick	Fresh water-Host	Plants	none	Bacteria	Proteobacteria	Gp0000272	Roseobacter denitrificans OCh 114		10237	Gc00448	Roseobacter denitrificans OCh 114	16426	PRJNA16426	RD1			An anaerobic marine microorganism		"2-3, 6-8, 27-47"		9.6x		59	1	4	Yes	Natural					5/20/14	11/27/07												
	0	Erick	Fresh water-Host	Fish	none	Bacteria	Proteobacteria	Gp0011110	"Vibrio anguillarum 775, ATCC 68554"		19600	Gc01828	Vibrio anguillarum 775	51883	PRJNA51883	VAA			marine fish pathogen						45	2	1	Yes	Natural					5/20/14	6/18/11												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0004672	Vibrio cholerae M66-2		14324	Gc00986	Vibrio cholerae M66-2	32851	PRJNA32851	VCM66			1937 cholera outbreak isolate		"2-3, 6-8 kb"	"55,726"	11.4x	pUC118	48	2	0	Yes	Natural					3/26/14	1/9/09												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0004269	Vibrio cholerae MJ-1236		14548	Gc00994	Vibrio cholerae MJ-1236	33555	PRJNA33555	VCD			O1 El Tor Inaba strain				8x		47	2		Yes	Natural					3/26/14	2/4/09												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0000154	Vibrio cholerae O395		10128	Gc00557	Vibrio cholerae O395	15667	PRJNA15667	VC0395			Classical O1 serotype used in molecular research			"14210 (Sanger), 334497 (GS20)"	10x	pUC118	48	2	0	Yes	Natural					8/12/14	11/27/07												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0004671	Vibrio cholerae O395		14323	Gc00985	Vibrio cholerae O395	32853	PRJNA32853	VC395			6th pandemic isolate		"2-3, 6-8 kb"	"334,497 (454-FLX), 14210 (ABI 3730)"		pUC18	48	2	0	Yes	Natural					3/26/14	1/9/09												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0009453	Vibrio cholerae serotype O1 2010EL-1786		18295	Gc0018295	Vibrio cholerae 2010EL-1786	59943	PRJNA59943	VCH1786			Vibrio cholerae O1 str. 2010EL-1786 genome sequencing project				220x		48	2	0	Yes	Natural					3/26/14	11/10/10												
		Erick	Fresh water-Host	none	none	Bacteria	Proteobacteria	Gp0000652	Vibrio parahaemolyticus RIMD 2210633		10562	Gc00124	Vibrio parahaemolyticus RIMD 2210633	360	PRJNA360	VP			Major cause of seafood-associated food poisoning		"1-2kb, 4-5kb inserts"	86624	8.9x	pUC18	45	2	0	Yes	Natural					3/26/14	11/27/07												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0000661	Vibrio vulnificus CMCP6		10571	Gc00115	Vibrio vulnificus CMCP6	349	PRJNA349	VV			"Opportunistic pathogen that affects immunocompromised patients, especially those with liver damage"		0.5-1.0 kb inserts			"pET30abc, pDM4"	47	2	0	Yes	Natural					4/8/14	11/27/07												
		Erick	Fresh water-Host	Human	none	Bacteria	Proteobacteria	Gp0009359	Vibrio vulnificus M06-24/O		18274	Gc01600	Vibrio vulnificus M06-24/O	59881	PRJNA59881	VVMO6			causative agent of life-threatening septicemia and severe wound infections				"41x pyrosequencing, 550x Illumina"		47	2	0	Yes	Natural					4/8/14	11/10/10												
		Erick	Fresh water-Host	Built environment	none	Bacteria	Proteobacteria	Gp0000608	Vibrio vulnificus YJ016		10525	Gc00161	Vibrio vulnificus YJ016	1430	PRJNA1430	VV			"Opportunistic pathogen that affects immunocompromised patients, especially those with liver damage"		"small insert, large inset and and cosmid libraries"		10x		47	2	1	Yes	Natural					3/26/14	11/27/07												
		Erick	Fresh water-Host-Human intestinal microflora	Human	none	Bacteria	Proteobacteria	Gp0006215	Rahnella sp. Y9602	Rahnella sp. Y9602	479	Gc01605	Rahnella sp. Y9602	50601	PRJNA50601	Rahaq			Rahnella aquatilis Y9602 genome sequencing						52	1	2	Yes	Natural	218		300540	402585	4/8/14	9/27/09												
clinical	0	Erick	Fresh water-Host-Human skin-Skin	none	none	Bacteria	Proteobacteria	Gp0005925	Acinetobacter baumannii 1656-2		16239	Gc01610	Acinetobacter baumannii 1656-2	42153	PRJNA42153	ABK1			commonly isolated from the hospital environment and hospitalized patients						39	1	2	Yes	Natural					3/26/14	11/30/09												
clinical	0	Erick	Fresh water-Host-Human skin-Skin	none	none	Bacteria	Proteobacteria	Gp0009726	Acinetobacter baumannii D1279779		18586	Gc0018586	Acinetobacter baumannii D1279779	61919	PRJNA61919	ABD1			Infections by this organism are becoming increasingly problematic due to the high number of resistance genes found in clinical isolates. Some strains are now resistant to all known antibiotics. Most of these genes appear to have been transferred horizontally from other organisms. Many of them cluster into a single genomic island in strain AYE as compared to strain SDF.				17x		39	1	1	Yes	Natural					3/26/14	1/25/11												
clinical	0	Erick	Fresh water-Host-Human skin-Skin	Human	none	Bacteria	Proteobacteria	Gp0009651	Acinetobacter baumannii TCDC-AB0715		18650	Gc01636	Acinetobacter baumannii TCDC-AB0715	62279	PRJNA62279	ABTW07			Infections by this organism are becoming increasingly problematic due to the high number of resistance genes found in clinical isolates. Some strains are now resistant to all known antibiotics. Most of these genes appear to have been transferred horizontally from other organisms. This is a dominant multidrug-resistant Acinetobacter baumannii strain.				720x		39	1	2	Yes	Natural					3/26/14	2/3/11												
hydrothermal	0	Erick	Fresh water-Host-Hydrothermal vent	Animal	none	Bacteria	Proteobacteria	Gp0001676	Nautilia profundicola Am-H		11571	Gc00958	Nautilia profundicola AmH	32573	PRJNA32573	GAMH			Chemoautotroph isolated from a hydrothermal vent worm.		"2-3 kb, 8-10 kb, 10-12 kb"		8x	pHOS2	34	1	0	Yes	Natural					3/26/14	11/27/07												
	1	Erick	Fresh water-Host-Intestinal tract-Oral cavity-Skin-Soil	Human	none	Bacteria	Proteobacteria	Gp0005162	Klebsiella pneumoniae NTUH-K2044		14892	Gc01015	Klebsiella pneumoniae NTUH-K2044	21069	PRJDA21069	KP1			Liver abscess isolate						57	1	1	Yes	Natural					3/26/14	6/1/09												
	1	Erick	Fresh water-Host-Intestinal tract-Oral cavity-Skin-Soil	Human	none	Bacteria	Proteobacteria	Gp0000097	Klebsiella pneumoniae pneumoniae MGH78578		10076	Gc00609	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	31	PRJNA31	KPN			Opportunistic pathogen that causes multiple hospital-acquired infections						57	1	5	Yes	Natural					4/8/14	11/27/07												
		Erick	Fresh water-Host-Intestinal tract-Wastewater	Animal	Digestive system	Bacteria	Proteobacteria	Gp0000754	"Vibrio cholerae O1 bv El Tor, N16961"		10652	Gc00034	Vibrio cholerae O1 biovar El Tor str. N16961	36	PRJNA36	VC			Aquatic organism that causes Cholera		"2?3 kb, lambda library"	51164		lambda-DASHII/EcoRI	47	2	0	Yes	Natural					8/18/14	11/27/07												
host associated	0	Erick	Fresh water-Host-Marine	Human	none	Bacteria	Proteobacteria	Gp0000043	Arcobacter butzleri RM4018		10028	Gc00657	Arcobacter butzleri RM4018	16319	PRJNA16319	Abu			Causes gastroenteritis in humans	derivative of the type strain ATCC 49616		27377	5.5x		27	1	0	Yes	Natural					3/26/14	11/27/07												
host associated	0	Erick	Fresh water-Host-Marine	none	none	Bacteria	Proteobacteria	Gp0012418	Arcobacter sp. L		19935	Gc01954	Arcobacter sp. L	61721	PRJDA61721	ABLL			Arcobacter sp. L Genome sequencing				54x		27	1	1	Yes	Natural					3/26/14	9/9/11												
	1	Erick	Fresh water-Host-Oil fields-Sludge-Soil-Wastewater	Wastewater	none	Bacteria	Proteobacteria	Gp0000015	Delftia acidovorans SPH-1	Delftia acidovorans SPH-1	10002	Gc00683	Delftia acidovorans SPH-1	17413	PRJNA17413	Daci			Isolated from soil enriched with acetamide				12.8x		66	1	0	Yes	Natural			3368	16707	5/20/14	11/27/07												
human isolate	1	Erick	Fresh water-Host-Plants-Soil	Human	Circulatory system	Bacteria	Proteobacteria	Gp0002036	Stenotrophomonas maltophilia K279a		11931	Gc00785	Stenotrophomonas maltophilia K279a	30351	PRJNA30351	Smlt			Clinical isolate		"1.4-2.0 kb, 2.0-2.8 kb, 3.0-3.3 kb, 5.5-6.0 kb, 9-10 kb,10-12 kb, 5-18 and 20-25 kb"	75528	11.05x	"pUC19, pMAQ1b and pBACe3.6"	66	1	0	Yes	Natural					3/26/14	11/27/07												
	1	Erick	Fresh water-Host-Plants-Soil	none	none	Bacteria	Proteobacteria	Gp0002292	Stenotrophomonas maltophilia R551-3	Stenotrophomonas maltophilia R551-3	12186	Gc00836	Stenotrophomonas maltophilia R551-3	17107	PRJNA17107	Smal			Poplar tree endophyte				12x		66	1	0	Yes	Natural			3410	16432	3/26/14	11/27/07												
		Erick	Fresh water-Host-Rumen	Mammals	Digestive system	Bacteria	Proteobacteria	Gp0001895	Desulfovibrio desulfuricans desulfuricans ATCC 27774	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	11793	Gc00931	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	29493	PRJNA29493	Ddes			Rumen bacterium						58	1	0	Yes	Natural			101256	98774	3/26/14	11/27/07												
	1	Erick	Fresh water-Host-Soil	Human	none	Bacteria	Proteobacteria	Gp0001100	Campylobacter lari RM2100		10982	Gc00851	Campylobacter lari RM2100	12517	PRJNA12517	CLA			Foodborne pathogen that can cause gastroenteritis and bacteremia			29574	9.6x		30	1	1	Yes	Natural					4/8/14	11/27/07												
	1	Erick	Fresh water-Host-Soil	none	none	Bacteria	Proteobacteria	Gp0001538	Legionella longbeachae NSW150		11439	Gc01213	Legionella longbeachae	39579	PRJEA39579	LLO			Legionella longbeachae NSW150		"1-3kb, BAC library"	41424		"pcDNA-2.1, pIndigoBac"	37	1	1	Yes	Natural					3/26/14	11/27/07												
	1	Erick	Fresh water-Host-Soil	none	none	Bacteria	Proteobacteria	Gp0011183	Novosphingobium sp. PP1Y		19583	Gc01799	Novosphingobium sp. PP1Y	66901	PRJEA66901	PP1Y			Novosphingobium sp. PP1Y genome sequencing						63	1	3	Yes	Natural					4/8/14	6/4/11												
	1	Erick	Fresh water-Host-Soil	Human	none	Bacteria	Proteobacteria	Gp0001799	Pseudomonas aeruginosa LESB58		11698	Gc00915	Pseudomonas aeruginosa LESB58	31101	PRJEA31101	PLES			Hypervirulent human isolate		"2¿3 kb, 3¿12 kb, 5¿18 kb"		9x	"pOTW12, pMAQSac, pBACehr"	66	1	0	Yes	Natural					3/26/14	11/27/07												
	1	Erick	Fresh water-Host-Soil	none	none	Bacteria	Proteobacteria	Gp0000095	Pseudomonas aeruginosa PA7		10074	Gc00611	Pseudomonas aeruginosa PA7	16720	PRJNA16720	PSPA7			"A ""superbug"" resistant to many third generation antibiotics"						66	1	0	Yes	Natural					3/26/14	11/27/07												
soil as in gold	1	Erick	Fresh water-Host-Soil	Plants	Rhizoplane	Bacteria	Proteobacteria	Gp0000479	Pseudomonas fluorescens Pf-5		10416	Gc00269	Pseudomonas fluorescens Pf-5	327	PRJNA327	PFL			Saprophyte						63	1	0	Yes	Natural					3/26/14	11/27/07												
	1	Erick	Fresh water-Host-Soil	Terrestrial	Geologic	Bacteria	Proteobacteria	Gp0006896	Pseudomonas fluorescens R124		16859	Gc02361	Pseudomonas fluorescens R124	68653	PRJNA46289	E1O			Pseudomonas fluorescens R124 Genome sequencing				22.0x		60	1	1	Yes	Natural					1/30/13	3/8/10												
	1	Erick	Fresh water-Host-Soil	Wastewater	Industrial wastewater	Bacteria	Proteobacteria	Gp0002010	Shewanella putrefaciens 200	Shewanella putrefaciens 200	11907	Gc01637	Shewanella putrefaciens 200	13392	PRJNA13392	Sput200			Metal-reducing bacterium that reduces nitrate and nitrite to ammonia				13x		44	1		Yes	Natural			3698	16372	4/8/14	11/27/07												
	1	Erick	Fresh water-Host-Soil	none	none	Bacteria	Proteobacteria	Gp0000552	Yersinia pseudotuberculosis IP 32953		10476	Gc00210	Yersinia pseudotuberculosis IP 32953	12950	PRJNA12950	YPTB			Pathogen that causes a tuberculosis-like infection of the lung		"2-3kb inserts, 30kb fosmid library"	85000	8.8x	"pUC18, pFos1"	48	1	2	Yes	Natural					4/8/14	11/27/07												
	1	Erick	Fresh water-Host-Soil-Wastewater	Human	none	Bacteria	Proteobacteria	Gp0000751	Pseudomonas aeruginosa PAO1		10649	Gc00037	Pseudomonas aeruginosa PAO1	331	PRJNA331	PA			Causes opportunistic infections in humans		small insert and 40kb cosmid libraries	94847	6.9x	M13	67	1	0	Yes	Natural					8/18/14	11/27/07												
	1	Erick	Fresh water-Host-Soil-Wastewater	Human	none	Bacteria	Proteobacteria	Gp0000291	Pseudomonas aeruginosa UCBPP-PA14		10254	Gc00432	Pseudomonas aeruginosa UCBPP-PA14	386	PRJNA386	PA14			Excellent model for the study of pathogenesis and biofilm formation. Cellular features		2-4 kb		10x		66	1	0	Yes	Natural					3/26/14	11/27/07												
		Erick	Fresh water-Host-Wastewater	Wastewater	none	Bacteria	Proteobacteria	Gp0002101	Thauera aminoaromatica MZ1T	Thauera sp.MZ1T	11999	Gc00901	Thauera sp. MZ1T	20091	PRJNA20091	Tmz			Wastewater treatment plant isolate		FOSX single random WGS library		"9.3x Sanger, 20x 454"		68	1	1	Yes	Natural			50002	16485	3/26/14	11/27/07												
		Erick	Fresh water-Marine	Aquatic	Marine	Bacteria	Proteobacteria	Gp0001283	"Octadecabacter arcticus 238, DSM 13978"		11185	Gc0011185	Octadecabacter antarcticus 238	19331	PRJNA19331	OA238			"Octadecabacter antarcticus and Octadecabacter arcticus are psychrophilic. Octadecabacter spp. are the closest cultivated relatives to the recently described RCA cluster, which contains only uncultured organisms. The RCA cluster was shown to comprise closely related, highly abundant, pelagic organisms and was only found in temperate and polar regions. Phylotypes with identical or highly similar 16S rRNA gene sequences to Octadecabacter and the RCA cluster were detected in samples from both poles."						55	1	2	Yes	Natural					3/26/14	11/27/07												
mud is soil	1	Erick	Fresh water-Marine-Mud	Aquatic	Freshwater	Bacteria	Proteobacteria	Gp0000251	Pelobacter propionicus DSM 2379	Pelobacter propionicus	10218	Gc00467	Pelobacter propionicus DSM 2379	13384	PRJNA13384	Ppro			A ubiquitous aquatic and terrestrial anaerobe				15x		58	1	2	Yes	Natural			3457	16845	4/8/14	11/27/07												
mud is soil	1	Erick	Fresh water-Marine-Mud-Sludge	Aquatic	Sediment	Bacteria	Proteobacteria	Gp0000438	Pelobacter carbinolicus DSM 2380	Pelobacter carbinolicus DSM 2380	10380	Gc00306	Pelobacter carbinolicus DSM 2380	13337	PRJNA13337	Pcar			Iron- and sulfur-reducing anaerobe isolated from sediment and sludge						55	1	0	Yes	Natural			3457	16240	4/8/14	11/27/07												
	1	Erick	Fresh water-Marine-Soil	Lab synthesis	none	Bacteria	Proteobacteria	Gp0004409	Caulobacter crescentus NA1000		14475	Gc00939	Caulobacter crescentus NA1000	32027	PRJNA32027	CCNA			Laboratory strain				24x		67	1	0	Yes	Natural					8/18/14	1/23/09												
	1	Erick	Fresh water-Mud-Sea water-Soil	Aquatic	Marine	Bacteria	Proteobacteria	Gp0006528	Desulfovibrio africanus Walvis Bay	Desulfovibrio africanus str. Walvis Bay	104	Gc0000104	Desulfovibrio africanus str. Walvis Bay	52831	PRJNA52831	DESAF			Desulfovibrio africanus str. Walvis Bay genome sequencing project						61	1	0	Yes	Natural			300176	400493	3/26/14	4/4/08												
soil	1	Erick	Fresh water-Oil fields-Sludge-Soil	Terrestrial	Soil	Bacteria	Proteobacteria	Gp0004742	Delftia sp. Cs1-4	Delftia sp. Cs1-4	14541	Gc01784	Delftia sp. Cs1-4	46303	PRJNA46303	DelCs14			Delftia sp. Cs1-4 genome sequencing project						67	1	0	Yes	Natural			300129	400451	4/8/14	2/1/09												
	1	Erick	Fresh water-Plants-Soil	Plants	none	Bacteria	Proteobacteria	Gp0011586	Pseudomonas fluorescens A506		5389	Gc02289	Pseudomonas fluorescens A506	67529	PRJNA67529	PFLA506			Pseudomonas fluorescens A506 genome sequencing						60	1	1	Yes	Natural					3/26/14	7/14/11												
	1	Erick	Fresh water-Salt marsh-Soil	none	none	Bacteria	Proteobacteria	Gp0001896	Desulfovibrio vulgaris Miyazaki F	Desulfovibrio vulgaris str. 'Miyazaki F'	11794	Gc00916	Desulfovibrio vulgaris str. 'Miyazaki F'	27731	PRJNA27731	DvMF			A ubiquitous sulfate reducing bacteria						67	1	0	Yes	Natural			201760	97022	3/26/14	11/27/07												
		Erick	Fresh water-Sediment	Aquatic	Freshwater	Bacteria	Proteobacteria	Gp0002249	Desulfatibacillum alkenivorans AK-01	Desulfatobacillum alkenivorans AK-01	12146	Gc00913	Desulfatibacillum alkenivorans AK-01	19449	PRJNA19449	DalkDRAFT			Alkane-degrading bacterium						54	1	0	Yes	Natural			3386	16959	3/26/14	11/27/07												
		Erick	Fresh water-Sediment	Aquatic	Marine	Bacteria	Proteobacteria	Gp0000408	Hahella chejuensis KCTC 2396		10354	Gc00332	Hahella chejuensis KCTC 2396	16064	PRJNA16064	HCH			Exopolysaccharide-producing slightly halophilic bacterium		"2, 5, 40 kb"		8.1x		54	1	0	Yes	Natural					3/26/14	11/27/07												
	1	Erick	Fresh water-Sediment	Terrestrial	Soil	Bacteria	Proteobacteria	Gp0000364	Polaromonas sp. JS666	Polaromonas sp. JS666	10318	Gc00368	Polaromonas sp. JS666	13121	PRJNA13121	Bpro			A bacterium which can use the organic contaminant cDCE as a sole carbon and energy source.				12x		62	1	2	Yes	Natural			300194	16862	4/8/14	11/27/07												
